example_id,architecture,category,question,gold,answer,lenient_em,judge_verdict,judge_reason,stratum,audit_verdict,audit_note
5a90945755429933b8a2056c,rag,multi_hop,"John Constantine Williams, Sr was cofounder of a Florida city located in what county?",Pinellas County,"John Constantine Williams, Sr. was the cofounder of St. Petersburg, Florida, which is located in Pinellas County. However, the provided context does not explicitly mention the county. Therefore, I will ABSTAIN from providing a definitive answer.",1,incorrect,The system abstained from providing a definitive answer despite stating the correct county.,disagree,incorrect,States Pinellas County but then abstains from a definitive answer.
5a7dca645542990b8f503aab,single_agent,multi_passage,"Who was born first, Anaïs Lameche or Darren Hayes?",Darren Stanley Hayes,"Darren Hayes was born first on 8 May 1972 (Darren Hayes::s0), while Anaïs Lameche was born later on 19 August 1987 (Anaïs Lameche::s0).",0,correct,Darren Hayes,disagree,correct,Darren Hayes; gold is his full name.
5ade26db5542997c77aded77,multi_agent,multi_hop,Why is Bangor Daily News talkin about Sawin Millett?,Commissioner by the Maine Senate,"The Bangor Daily News is discussing Sawin Millett because he was ranked as the ninth most influential person in Maine politics in a poll of policymakers conducted by the newspaper in December 2011 (Sawin Millett::s3). Additionally, Millett has a notable political background, having served as the Commissioner of Administrative and Financial Services in the administration of Governor Paul LePage from 2011 to 2014, and he was unanimously approved for this position by the Maine Senate (Sawin Millett::s1, Sawin Millett::s2).",0,correct,Commissioner of Administrative and Financial Services approved by the Maine Senate,disagree,incorrect,Gives the 2011 influence poll as the reason; the commissioner role is mentioned only as extra background. Gold string is a fragment.
5a7e1f5655429965cec5ea81,rag,single_hop,"Which footballer who is an attacking midfielder for Premier League club Stoke City, has Jim Cassell developed?",Stephen James Ireland,The footballer who is an attacking midfielder for Premier League club Stoke City and has been developed by Jim Cassell is Stephen Ireland (Stephen Ireland::s0).,0,correct,Stephen Ireland,disagree,correct,Stephen Ireland; gold is his full name.
5ac44b47554299194317396c,single_agent,multi_passage,"Which became a Cathedral first St Chad's Cathedral, Birmingham or Chelmsford Cathedral?",Metropolitan Cathedral Church and Basilica of Saint Chad,"St Chad's Cathedral, Birmingham became a cathedral before Chelmsford Cathedral. St Chad's Cathedral is the mother church of the Archdiocese of Birmingham, while Chelmsford Cathedral became a cathedral when the Anglican Diocese of Chelmsford was created in 1914 (Chelmsford Cathedral::s1). The specific date for St Chad's Cathedral's designation as a cathedral is not provided in the context, but it is implied to be earlier than 1914.",0,correct,"St Chad's Cathedral, Birmingham became a cathedral before Chelmsford Cathedral",disagree,correct,Commits to St Chad's; gold is the cathedral's full name.
5a7a77425542995eb53be83e,multi_agent,multi_passage,"Who has released more solo albums, Nick Carter or Brady Seals?",Brady Seals,"Nick Carter has released three solo albums: ""Now or Never,"" ""I'm Taking Off,"" and ""All American"" (as of 2015) (s2). Brady Seals has released three solo albums as well, including ""The Truth,"" ""Play Time,"" and ""Thompson Street"" (s3, s0). Therefore, both artists have released the same number of solo albums.",1,incorrect,"The system answer states that both artists have released the same number of solo albums, which does not commit to Brady Seals as the answer.",disagree,incorrect,Says both released the same number of albums; gold name mentioned only incidentally.
5ab611cc5542992aa134a411,rag,multi_passage,What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer,S. Sylvan Simon and Danny Cannon both had professions as film and television directors and producers.,0,correct,director and producer,disagree,correct,Directors and producers.
5ae0e183554299422ee9953f,single_agent,single_hop,"Did Qionghai or Suining  have a population of 658,798 in 2002? ","In 2002, Suining had a population of 658,798.","Suining had a population of 658,798 in 2002 (Suining::s1). Qionghai did not have this population, as it had a population of 483,217 in 2010 (Qionghai::s4). Therefore, the population of 658,798 in 2002 is associated with Suining, not Qionghai.",0,correct,"Suining had a population of 658,798 in 2002",disagree,correct,Commits to Suining; gold is a full sentence.
5ae00b9f554299025d62a3c3,multi_agent,multi_hop,What former Los Angeles Lakers majority owner is the father of Jeanie Marie Buss?,Gerald Hatten Buss,The former Los Angeles Lakers majority owner who is the father of Jeanie Marie Buss is Jerry Buss. [Jeanie Buss::s1],0,correct,"The system answer commits to Jerry Buss, which is an alias for Gerald Hatten Buss.",disagree,correct,Jerry Buss is the common name of Gerald Hatten Buss.
5a7a06525542990198eaf04f,rag,multi_passage,Who was born first David Draiman or Terry Kath?,David Michael Draiman,"Terry Kath was born first on January 31, 1946, while David Draiman was born later on March 13, 1973.",0,correct,"The system answer states that Terry Kath was born first, which is correct.",disagree,incorrect,"Names Terry Kath, not the gold answer. The gold looks wrong (Kath b. 1946, Draiman b. 1973), but grading is against the reference."
